sample_id	salmon_rsem
AGTEX-BL271-1236-SN-C70C	0.8338137113905262
AGTEX-BF271-0378-SN-P6TX	0.8133992526133517
AGTEX-AL271-1392-SN-1OJ4	0.7819486454174602
AGTEX-CC241-4003-SN-IG2C	0.8145120049859021
AGTEX-BA231-1053-SN-00HS	0.81399893376778
AGTEX-CJ092-6246-SN-C2MG	0.817386959953165
AGTEX-BE161-1856-SN-UQ0O	0.8226002073966225
AGTEX-CI291-3082-SN-MA20	0.8264400906105991
AGTEX-BK071-1236-SN-5H9L	0.7903510049652657
AGTEX-CG091-2099-SN-59AJ	0.8277127741275105
AGTEX-CG071-0160-SN-8WZR	0.8300133200788609
AGTEX-AK231-1392-SN-96SK	0.8036850722991249
AGTEX-BB202-0262-SN-WCB0	0.8161682878340523
AGTEX-BA191-1108-SN-1Q9D	0.7372475684090644
AGTEX-BA102-1392-SN-C5LL	0.803402409810424
AGTEX-CJ151-6145-SN-8MLA	0.8005068139100331
AGTEX-CH101-2099-SN-T8FP	0.851926393438221
AGTEX-CC041-1392-SN-ZGX0	0.7919799158674178
AGTEX-BK191-3082-SN-Y33A	0.7939176218492019
AGTEX-CC121-3082-SN-SJ7Y	0.833823169337334
AGTEX-BH171-1856-SN-D2E5	0.8428335362605129
AGTEX-CF201-0087-SN-D2N8	0.8408654531200916
AGTEX-CB271-4022-SN-4J5N	0.826804304098934
AGTEX-BD201-1053-SN-Y5QX	0.8452725590942473
AGTEX-CE141-2099-SN-1KSL	0.8235987865229597
AGTEX-CC141-1856-SN-YM5Z	0.8285681848137204
AGTEX-BA211-2099-SN-TN7H	0.7933307261433169
AGTEX-CB052-0262-SN-7QH6	0.8278306052075687
AGTEX-BI281-0160-SN-EA2K	0.7965598359922683
AGTEX-CI222-1108-SN-897E	0.8154585928755502
AGTEX-BG311-0160-SN-CUT9	0.830241177993401
AGTEX-CC141-2099-SN-9Z6J	0.8460006837315779
AGTEX-CE111-1392-SN-DXL6	0.8107001068934441
AGTEX-BB201-1584-SN-HWR5	0.8037416840924431
AGTEX-BJ171-1856-SN-H0DS	0.8133778871664341
AGTEX-AK221-2099-SN-W9VD	0.8169408669853676
AGTEX-CC201-1856-SN-5RYK	0.8318960762509547
AGTEX-CB271-4018-SN-80EB	0.8206958441875462
AGTEX-CC061-1236-SN-8J0Z	0.8483884046906737
AGTEX-CL171-5415-SN-E4DH	0.8429832184146325
AGTEX-BL161-0087-SN-5EJ5	0.8737417426963887
AGTEX-CC311-4019-SN-5DPI	0.8509239142071602
AGTEX-CA081-0160-SN-HKW0	0.807526453358872
AGTEX-CG071-4022-SN-EFV6	0.8100153999657579
AGTEX-CC231-0160-SN-AGL4	0.8543795872599483
AGTEX-BK161-0378-SN-G6CU	0.8321408290499199
AGTEX-CG261-3082-SN-6DMI	0.8215775864599059
AGTEX-CA081-0087-SN-A3NQ	0.8671856518388723
